ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
232	"Mittelstädt, V., & Miller, J. (2018). Redundancy gain in the Simon Task: 
 Does increasing relevant activation reduce the effect of irrelevant activation?. Journal of Experimental Psychology: Human Perception and Performance, 44(8), 1153."		2018		https://doi.org/10.1037/xhp0000523		yes	1		no	CK	modified Simon task	1			DFD_KM		1	
233	"Hanson, A. E. S. (2012). How second language learners process argument 
 structure: The effects of first language and individual differences. The Pennsylvania State University."		2012					0	dissertation		CK		0	Dissertation, Flanker task		EB		0	No Simon task
234	"Waszak, F., Springer, A., & Prinz, W. (2010). The dynamic control of 
 human actions."		2010		https://doi.org/10.1093/acprof:oso/9780195391381.003.0010			0	book chapter		CK	no access	0	Book chapter, no empirical data		EB		0	Book chapter without empirical data
235	"Puleo, J. S., & Sheldon, P. E. (1977). Effects of certainty and uncertainty of
 stimulus-response correspondence on auditory reaction times. Perceptual and motor skills, 45(1), 311-316."		1977		10.2466/pms.1977.45.1.311			0	Auditory Simon task		ME		0			LS_LW		0	Auditory Simon task
236	"del Valle Inclán, F., Rumbo, T., & Redondo, M. (1995). El efecto Simon 
 estudiado con potenciales cerebrales relacionados con el movimiento. Psicothema, 7(1), 139-146."		1995					0			CK	only in spanish	0	In Spanish		LS_LW		0	Spanish
237	"Schmitz, F. (2010). Kognitive Mechanismen Im Implicit Association Test:
 Task-Switching, Inhibition und Inertia. Logos Verlag Berlin GmbH."		2010					0	book chapter		CK		0	Inaccesible, in German		EB		0	Book chapter without empirical data
238	"Tlauka, M. (2005). Stimulus–response sets with multiple dimensional 
 overlap: Asymmetric effects are influenced by the degree of overlap. Australian journal of psychology, 57(1), 28-37."		2005		https://doi.org/10.1080/000495304412331283435			0	semantic Simon task (english vs. american city names)		CK	"modified Simon task: Hedge and Marsh task;"	0	Joint Go/No go, verbal-semantic, multiple dimensions		LD_HP		0	Semantic Simon task
239	"WALLACH, M. (1971). SR compatibility and the idea of a response code.
 Journal of Experimental Psychology, 88(3), 354-360."		1971		10.1037/h0030892			0	design does not fit simon task		CK	too small sample size	0	No SD reported		LS_LW		0	No Simon task
240	"Heijnen, S., De Kleijn, R., & Hommel, B. (2019). The impact of human–robot
 synchronization on anthropomorphization. Frontiers in psychology, 9, 2607."		2019		https://doi.org/10.3389/fpsyg.2018.02607			0	joint Simon task (Human–Robot Synchronization)		CK	human-robot-interaction	0	Joint Simon task		BB_JPR		0	Joint Simon task
241	"Introzzi, I. M., Richard, M. M., Comesaña, A., & Coni, A. G. (2019). Cognitive
 functioning: is it all or none?. Psychological research, 83(6), 1137-1146."		2019		https://doi.org/10.1007/s00426-017-0969-0			0	"different design (if the finger points diagonally, participants are to hit the key that is
 contralateral to the stimulus, and if the finger points straight down, 
they should hit the ipsilateral key. Thus, the relevant trait is the 
direction of the stimulus. Conversely, the irrelevant trait is whether 
the hand appears on the right or left side of the monitor)"		CK	The finger task is based in part on the Simon effect.	0	Not containing a Simon task		BB_JPR		0	No Simon task
242	"Anelli, F. (2012). Social cognition: New insights from affordance and 
 Simon effects."		2012					0	dissertation		CK	dissertation that looks if at all at the joint Simon task	0	Dissertation, in Italian		EB		0	Italian
243	"Shang, Q., Fu, H., Qiu, W., & Ma, Q. (2016). Event-related lateralized 
 readiness potential correlates of the emotion-priming Simon effect. Experimental brain research, 234(8), 2123-2132."		2016		https://doi.org/10.1007/s00221-016-4614-8			0	emotional simon task		CK	"simon effect combined with emotional priming; reason for exclusion?"	0	Emotion priming		DFD_KM		0	Affective Simon task
244	"Nishimura, A., & Yokosawa, K. (2012). Effects of visual cue and response
 assignment on spatial stimulus coding in stimulus–response compatibility. Quarterly Journal of Experimental Psychology, 65(1), 55-72."		2012		https://doi.org/10.1080/17470218.2011.611888			0	no simon-task		CK	"simon task was just cited; 
spatial SRC effect was studied"	0	No SD reported		EB		0	No Simon task
245	"Aisenberg, D., Sapir, A., Close, A., Henik, A., & d’Avossa, G. (2018). Right 
 anterior cerebellum BOLD responses reflect age related changes in Simon task sequential effects. Neuropsychologia, 109, 155-164."		2018		10.1016/j.neuropsychologia.2017.12.012			0	elderly sample?		CK	"13 elderly participants (mean age = 70.7)
7 young ones (m = 25.5)"	0	No M&SD reported		DFD_KM		0	No healthy young adults
246	"Wühr, P., & Heuer, H. (2018). The impact of anatomical and spatial distance
 between responses on response conflict. Memory & cognition, 46(6), 994-1009."		2018		https://doi.org/10.3758/s13421-018-0817-5		yes	1	exp 1 & 2	no	CK	modified Simon task	1		https://static-content.springer.com/esm/art%3A10.1038%2Fs41598-017-15604-1/MediaObjects/41598_2017_15604_MOESM2_ESM.csv	DFD_KM		1	
247	"Palix, J. (2006). Attention et recherche visuelle: approches comportementale
 et électrocorticale (Doctoral dissertation, University of Geneva)."		2006					0	Doctoral dissertation, in french only		CK		0	Dissertation, Simon effect in visual search tasks, exp 5		EB		0	French
248	"Ariga, A., Yamada, Y., & Yamani, Y. (2016). Early visual perception potentiated
 by object affordances: Evidence from a temporal order judgment task. i-Perception, 7(5), 2041669516666550."		2016		https://doi.org/10.1177/2041669516666550			0			CK	"stimuli were cups; no simon-task/effect, but affordance effect assessed; "	0	Up-down presentation		DFD_KM		0	No Simon task
249	"Baess, P., Weber, T., & Bermeitinger, C. (2018). Sharing different reference
 frames: How stimulus setup and task setup shape egocentric and allocentric Simon effects. Frontiers in psychology, 9, 2063."		2018		https://doi.org/10.3389/fpsyg.2018.02063		yes	0		no	CK	"modified simon task (joint and go/nogo task); too complex to include;  "	0	Go/No-Go Simon task		DFD_KM		0	Go/No-go Simon task
250	"van der Weiden, A., Liepelt, R., & van Haren, N. E. (2019). A matter of you
 versus me? Experiences of control in a joint go/no-go task. Psychological research, 83(5), 842-851."		2019		https://doi.org/10.1007/s00426-017-0903-5			0	joint Simon task		CK	joint simon task	0	Joint Simon task		BB_JPR		0	Joint Simon task
251	"Zhou, P., Prat, C., Yamasaki, B. L., & Stocco, A. (2020). Monitoring of attentional
 oscillations through Spectral Similarity Analysis predicts reading comprehension. Brain and language, 200, 104709."		2020					1	visual Simon effect with squares and circles		HL		1			EB		1	
252	"Anzola, G. P., & Frisoni, G. B. (1992). The spatial distribution of attention in 
 SR compatibility. Behavioural brain research, 49(2), 189-196."		1992					0	different task design without visual cue of stimuli location, Posner paradigm		CK		0	Not really a Simon task, L-R hand & L-R fingers crossed, not all RTs, no SD		LS_LW		0	No Simon task
253	"Lam, M. Y. W. (2013). Modulation of joint action correspondence effects by 
 task context: Examination of the contributions of social, spatial, and response discrimination factors (Doctoral dissertation, University of British Columbia)."		2013					0	dissertation		CK		0	dissertation, joint Simon, social Simon		EB		0	Joint Simon task
254	"Mendl, J., Fröber, K., & Dolk, T. (2018). Are You keeping an eye on me?
 The Influence of competition and cooperation on joint Simon task performance. Frontiers in psychology, 9, 1361."		2018	Mendl, J., Fröber, K., & Dolk, T.	https://doi.org/10.3389/fpsyg.2018.01361	joint go-nogo Simon task		0	joint go-nogo Simon task		EP		0	extended by condition (competition vs cooperation): people sit on right or left side and are responsible of only one button (go no-go)		DFD_KM		0	Joint Simon task
255	"van der Weiden, A., Aarts, H., Prikken, M., & van Haren, N. E. (2016). 
 Individual differences in action co-representation: not personal distress or subclinical psychotic experiences but sex composition modulates joint action performance. Experimental Brain Research, 234(2), 499-510."		2016	van der Weiden, A., Aarts, H., Prikken, M., & van Haren, N. E. 	https://doi.org/10.1007/s00221-015-4475-6	social Simon task		0	joint Simon task (performed in pairs)		EP		0	social (joint) simon task only		DFD_KM		0	Joint Simon task
256	"Neveu, R., Fouragnan, E., Barsumian, F., Carrier, E., Lai, M., Nicolas, A., 
 ... & Coricelli, G. (2016). Preference for safe over risky options in binge eating. Frontiers in behavioral neuroscience, 10, 65."		2016					1			HL		1	not sure this has the right data for our purposes		EB		1	
257	"Yamasaki, B. L., Stocco, A., & Prat, C. S. (2018). Relating individual differences
 in bilingual language experiences to executive attention. Language, Cognition and Neuroscience, 33(9), 1128-1151."		2018	Yamasaki, B. L., Stocco, A., & Prat, C. S.	https://doi.org/10.1080/23273798.2018.1448092	Attentional Blink (AB) + Simon task		0	even though the design of the study would fit (they used Simon task alongside with Attentional Blink), the authors do not report any descriptive statistics! 		EP		0	no RT data reported		DFD_KM		0	No RT data
258	"Riès, S. K., Xie, K., Haaland, K. Y., Dronkers, N. F., & Knight, R. T. (2013). Role of
 the lateral prefrontal cortex in speech monitoring. Frontiers in Human Neuroscience, 7, 703."		2013	https://doi.org/10.3389/fnhum.2013.00703				0	clinical sample (PFC lesions), verbal simon task		CK		0	Dissertation		EB		0	No healthy young adults
259	"Schofield, W. N. (1937). Estimating cerebral asymmetry and interhemispheric
 transmission time from individual differences in bimanual response to lateralized stimuli. Individual Differences in Hemispheric Specialization, 233-265."		1937					0			CK	no access	0	no access		HL		0	no access
260	"Burton, J. (2011). Linkages between auditory perception and action: 
 Acoustical facilitation of motor responses (Doctoral dissertation, Cardiff University)."		2011					0	doctoral dissertation		JW		0	auditory stimuli during task		EB		0	Auditory Simon task
261	"Schneider, D. W. (2020). Alertness and cognitive control: Interactions in the
 spatial Stroop task. Attention, perception & psychophysics, 82(5)."		2020					1	"visual Simon effect with arrows and words,
horizontal and vertical axis"	yes	HL	"Really nice transparent reporting
pre-registered"	1			EB	spatial stroop task but appears simon in nature	1	
262	"Finkbeiner, M., & Heathcote, A. (2016). Distinguishing the time-and 
 magnitude-difference accounts of the Simon effect: Evidence from the reach-to-touch paradigm. Attention, Perception, & Psychophysics, 78(3), 848-867."		2016					0	reach-to-touch paradigm, no overall RTs		HL		0	right type of task, not sure it has the data needed for our purposes		EB		0	No RT data
263	"Lugli, L., Baroni, G., Nicoletti, R., & Umiltà, C. (2016). The Simon effect with
 saccadic eye movements. Experimental psychology."		2016					0	Eyetracking data (saccadic movement RT)		HL		0	unclear I don't have access to it		EB		0	No RT data
264	"Simon, J. R., Craft, J. L., & Webster, J. B. (1971). Reaction time to onset and 
 offset of lights and tones: Reactions toward the changed element in a two-element display. Journal of Experimental Psychology, 89(1), 197."		1971					0	no simon effect examined: Ss responded to the onset or offset of one light in a 2-light display. On onset trials, RTs were faster toward the light which went on (changed element) than toward the light which remained off (unchanged element)		CK		0	No congruence manipulation, No SD reported		LS_LW		0	No Simon task
265	Spera, P. (2010). The role of attention in Simon Effect asymmetries.		2010					0	doctoral dissertation		JW		0	Dissertation		EB		0	Dissertation
266	"Zwaan, R., Pecher, D., Paolacci, G., Bouwmeester, S., Verkoeijen, P.,
 Dijkstra, K., ... & Zwaan, R. A. (2017). Some Psychological Effects Replicate Even Under Potentially Adverse Conditions."		2017					0	"preprint - published paper is already
included"		HL		0			EB		0	duplicates 83
267	"Lehle, C., Stürmer, B., & Sommer, W. (2013). The influence of dimensional
 overlap on location-related priming in the Simon task. Quarterly Journal of Experimental Psychology, 66(12), 2329-2347."		2013	https://doi.org/10.1080/17470218.2013.778303				0	"verbal simon task; SOAs"		CK		0	Vertical stimulus presentations		EB		0	Vertical task
268	"Ries, S., Tavildar, S., Rohilla, R., Sperling, C., & Ashrafi, A. (2020). Patterns of
 cortical interactivity supporting speech production and lexical retrieval: A graph signal processing approach at the individual level. Journal of Neurolinguistics, 56, 100936."		2020					0	"no Simon task, picture naming,
no access to full-text"		HL		0	does not include simon data		EB		0	No Simon task
269	"Walker, B. N. (1997). Congruency effects with dynamic auditory stimuli. 
 Rice University."		1997					0	auditory, not visual stimuli		CK		0	Dissertation		LD_HP		0	Auditory Simon task
270	"Verbruggen, F. (2005). The relation between stop signal inhibition and 
 other forms of inhibition: A search for common mechanisms (Doctoral dissertation, Ghent University)."		2005					0	Doctoral dissertation		ME		0	no simon task		LD_HP		0	No Simon task
271	"O'Malley, C., & Bruce, V. (1996). Actions speak no louder than words: 
 Symmetrical cross-modal interference effects in the processing of verbal and gestural information. Journal of Experimental Psychology: Human Perception and Performance, 22(6), 1357-1375."		1996					0	stroop-task paradigm		CK		0	No SD reported, however exp 2 is fully visual		LS_LW		0	No Simon task
272	"Stocco, A., Prat, C. S., & Graham, L. K. (2021). Individual Differences in 
 Reward?Based Learning Predict Fluid Reasoning Abilities. Cognitive Science, 45(2), e12941."		2021		https://doi.org/10.1111/cogs.12941			0	no Simon task		CK	"made us of Probabilistic Stimulus Selection task, Raven’s
Advanced Progressive Matrices test, Automated Operation Span task"	0	No Simon task	https://osf.io/3zqyk/.	BB_JPR		0	No Simon task
273	"Lane, C. A. (2003). Stimulus-response compatibility and perception-action links:
 Influences on choice reaction times. Auburn University."		2003					0	Dissertation		CK		0	Inaccesible		LD_HP		0	no access
274	"Schroeder, V. (2019). The neural correlates of automatic imitation 
 (Doctoral dissertation, University of Birmingham)."		2019					0	video material, mimicking hand movements		HL		0			EB		0	No Simon task
275	"Dunn, M. R. (1997). A re-investigation of Hick's law and its implications for
 information processing. University of Nevada, Las Vegas."		1997					0	Thesis		CK		0	no simon task		LD_HP		0	No Simon task
276	"Walter, J., Buon, M., Glaviaux, B., & Brunel, L. (2021). Excluded but not alone.
 Does social exclusion prevent the occurrence of a Joint Simon Effect (JSE)?. Acta Psychologica, 218, 103337."		2021	Walter, J., Buon, M., Glaviaux, B., & Brunel, L.	https://doi.org/10.1016/j.actpsy.2021.103337			0	joint gonogo Simon Task with social exclusion manipulation (Cyber ball)		EP		0	joint simon only		BB_JPR		0	Joint Simon task
277	"McKernan, E. P. (2020). Factor Invariance of Anxiety and Depression Measures
 in Autism (Doctoral dissertation, Syracuse University)."		2020					0	research on autism, no Simon task		HL		0	does not include simon task		EB		0	No Simon task
278	"Folyi, T. (2016). Automaticity of evaluations and emotion–attention
 interactions in the auditory modality."		2016	Folyi, T.	"https://publikationen.sulb.uni-saarland.de/handle/20.500.11880/23491;jsessionid=863B83125CE1BBF60456EB537DF9CC7D"			0	Doctoral thesis		EP		0	auditory stimuli		DFD_KM		0	Auditory Simon task
279	"WARM, J. S. (1989). humans who constitute the system's liveware must be
 able to learn to associate the symbols in the response alphabet with those in the stimulus. Stimulus-Response Compatibility: An Integrated Perspective, 3."		1989					0	no access, book chapter		CK		0	Chapter in a book		LS_LW		0	Book chapter without empirical data
280	"Bardi, L. (2011). Activation and selection of competing responses: a TMS
 study of the frontoparietal network."		2011					0	doctoral dissertation		JW		0	TMS during task, influences RT		EB		0	No Simon task
281	"Davranche, K., Belletier, C., Gajdos, T., Laurence, C., Vidal, F., Huguet, P., 
 & Hasbroucq, T. (2020). Deciphering the nature of the joint Simon effect through electromyographic analyses."		2020					1	preprint		HL		1			EB		1	
282	"Heister, G., & Schroeder-Heister, P. (1987). Evidence for stimulus-response
 compatibility effects in a divided visual field study of cerebral lateralization. Acta psychologica, 66(2), 127-138."		1987					0	different design: lexical task, familiarity of words and vocal reactions		CK		0	"words, response with different
fingers of the same hand"		HL		0	No Simon task
283	"Gunther, M. L. (2008). Brain Imaging and Cognitive Function in Survivors of
 Critical Illness: A Pilot Study (Doctoral dissertation, University of Georgia)."		2008					0	Doctoral dissertation		ME		0			LS_LW		0	Dissertation
284	"Chauvin, A. (2015). Individual Differences in Proactive and Reactive Control in
 Bilinguals (Doctoral dissertation, Concordia University)."		2015					0	no Simon task, bilingual participants		HL		0			EB		0	No Simon task
285	"Mead, T. P. (1995). Auditory and visual accessory stimulus compatibility of
 competitive tennis players: Psychological sport training applications. The University of Toledo."		1995			not relevant	not relevant	0			JW	PhD dissertation. Don't think it should be included as it measures tennis players.	0			HL		0	Auditory Simon task
286	"Cespón, J., Hommel, B., Korsch, M., & Galashan, D. (2020). The neurocognitive
 underpinnings of the Simon effect: An integrative review of current research. Cognitive, Affective, & Behavioral Neuroscience, 1-40."		2020	Jesús Cespón & Bernhard Hommel & Margarethe Korsch & Daniela Galashan	https://doi.org/10.3758/s13415-020-00836-y	nr	nr	0	review, focussing on neurocognitive findings		JW	Review. Focussing on neurocognitive findings.	0	review paper		BB_JPR		0	Review
287	"Keus, I. M. (2006). Shedding light on the SNARC: illuminating the association
 between numerical and spatial information (Doctoral dissertation, [Sl: sn])."		2006					0	doctoral dissertation		JW	Doctoral dissertation. Not a paper. No abstract/summary available in English.	0	No SD		Initials		0	Dissertation
288	Vallesi, A. This is the unedited author’s version of a paper that was published in Cognition. Please cite this work as follows: Vallesi A., Binns M., Shallice T.(2008). An effect of spatial-temporal association of response codes: Understanding the cognitive representations of time. Cognition, Vol. 107 (2), pp 501-527. DOI.							0			HL	duplicates 33	0					0	duplicates 33
289	"Duran, D., & Lewandowski, N. (2020, May). Demonstration of a Serious Game
 for Spoken Language Experiments-GDX. In Workshop on Games and Natural Language Processing (pp. 68-78)."	Demonstration of a Serious Game for Spoken Language Experiments — GDX	2020	Daniel Duran & Natalie Lewandowski		The classic experiment is a categorization test with acoustic stimuli, designed in a way to maximally resemble the game scenario (involving the category labels “human” and “alien”, just as in the game). All manipulated items belonged to the “alien” category, whereas the original recordings were used as the “human” samples. The nature of the manipulation was not communicated to the participants (neither in the perception test nor in the game). However, since the setting was an auditory categorization test, it was obvious to the participants that they were supposed to focus on cues in the sound of the stimuli. This is in stark contrast to the game scenario, where the target dimension of the signal was never explicitly nor circumstantially revealed to the participants. Similarly to the game, after a short training phase, subjects had to categorize the stimuli in three blocks, with one manipulation at a time (as in the three game levels).	"Two participants suffered from a mild case of cybersickness while playing the game (Frey et al., 2007; Rebenitsch and Owen, 2016). After a short break, however, they were able to continue with the experiment. Since the break occurred still within the training phase before any RTs were measured, the data did not have to be discarded but was included in the evaluation."	0	experimental set-up is a computer game (doesn't mention Simon effect)		JW	Not for inclusion. Experimental set-up is a computer game	0	no simon effect reported		BB_JPR		0	No Simon task
290	"Yang, L. X. (2018). Applications of Internet Methods in Psychology. In Big Data
 in Computational Social Science and Humanities (pp. 249-262). Springer, Cham."	Applications of Internet Methods in Psychology	2018	Yang, L. X.		na	na	0	book chapter (review)	na	JW	chapter in book (review)	0	only brief mention of simon task		DFD_KM		0	Book chapter without empirical data
291	"Margolis, A. E., Pagliaccio, D., Ramphal, B., Banker, S., Thomas, L., Robinson, 
 M., ... & Marsh, R. (2021). Prenatal environmental tobacco smoke exposure alters children’s cognitive control circuitry: A preliminary study. Environment International, 155, 106516."		2021	Amy E.Margolisa, David Pagliaccio, Bruce Ramphal, Sarah Banker, Lauren Thomas, Morgan Robinson, Masato Honda, Tamara Sussman, Jonathan Posner, Kurunthachalam Kannan, Julie Herbstman, Virginia Rauh, Rachel Marsh	https://doi.org/10.1016/j.envint.2021.106516	".2. Cotinine measurement
 Cotinine was measured in prenatal maternal and postnatal child urine: individuals with values between 0.05 and 0.99 ng/ml were classified as non-exposed, and those with 1.00–16.00 ng/ml as ETS-exposed (Supplement) (Benowitz et al., 2009, Florescu et al., 2009, Lee, 1991). Among participants who attempted a scan, 28 children were non-exposed and 20 (41.7%) exposed, mirroring US population estimates that 40% of children are ETS exposed (The Health Consequences of Smoking, 2014). Of the 41 children who successfully completed the structural scan, 24 were exposed, and of the 30 children who successfully completed the Simon task, 10 were exposed.
 2.3. Behavioral measures
 Maternal report on the Child Behavior Checklist (CBCL), a clinically validated questionnaire, was used to measure behavioral features of ADHD. Parent-report is the most commonly used clinical tool for assessing these behaviors (Bied et al., 2017). We examined three CBCL subscales: the empirically-based Attention Problems score measuring symptoms associated with ADHD, the DSM-oriented ADHD scale reflecting likelihood of an ADHD diagnosis, and the Externalizing behavior scale. Children completed the Wechsler Abbreviated Scale of Intelligence-2nd edition (Wechsler, 1999).
 2.4. MRI acquisition
 Data were acquired on a 3T GE 750 scanner with a 32-channel head coil. Two structural T1 images were collected for each participant using a 3D-FSPGR sequence (flip angle = 11, TE = 2.588 ms, TR = 6.412 ms, 180 slices, 1 mm isotropic resolution). Three runs of Simon task data were acquired with an echo planar imaging sequence (flip angle = 77, TE = 25 ms, TR = 2000 ms, 44 slices, 3.0 mm isotropic resolution, 160 acquisition frames, 5 min and 32 s long). Structural data were processed using standard FreeSurfer v6.0 pipeline (recon-all) (Fischl et al., 2002, Fischl et al., 2004) and functional data using Statistical Parametric Mapping (SPM)12, AFNI, and FSL (Supplement).
 2.5. Simon task
 During the Simon task (Craft and Simon, 1970), individuals press a button to indicate the direction an arrow is facing. Congruent (C) trials occur when a right-facing arrow appears on the right side of the screen, and incongruent (I) trials when a left-facing arrow appears on the right side of the screen or vice versa. The task thus requires engagement of control processes (inhibit the prepotent response to the arrow location and instead indicate the direction). Typically developing children respond faster to congruent than incongruent trials, activating bilateral IFG, ACC, and parietal regions during the resolution of conflict (Margolis et al., 2018). Prior studies suggest that reaction time (RT), indexing trial-wise difficulty resolving cognitive conflict, similarly associates with activation in the ACC, IFG, and thalamus (Weissman and Carp, 2013, Grinband et al., 2011). Thus, we were interested in trial-wise associations between brain activity and RT as well as associations between brain activation and event-related contrasts.
 First-level general linear models were generated in two ways (SPM12; Supplement). First, models include a regressor of interest for correct trials parametrically modulated by trial-wise RT and one for error trials with duration as RT. Second, models included 5 task regressors (duration as trial-wise RT) to examine second-level Incongruent-Congruent (I-C) contrast: post-congruent congruent, post-incongruent congruent, post-congruent incongruent, post-incongruent incongruent, and errors. All analyses included 24 head motion regressors (translation/rotation, their derivatives, and squares) and regressed out frames with framewise displacement >1 mm, as in pediatric task-based studies with similar TR (van Hulst et al., 2017)."	Of these 48, five children were unable to complete a structural scan and two children were excluded during quality control procedures (Supplement) for excessive head motion during the structural sequence, leaving 41 with useable structural data. Of 39 children who completed the Simon task, six were excluded for poor task accuracy (<50% correct on each run), two for excessive head motion (>20% of frames were outliers with >1 mm frame-wise displacement on each run (Siegel et al., 2014, Centanni et al., 2018), and 1 for a technical error, leaving 30 with useable task data.	0	sample consists of children, brain scans done		JW	don't think this should be included. Children were included and brain scans were done on them.	0	children sample		BB_JPR		0	No healthy young adults
292	"Wu, Y. (2015). Quantifying Drivers Foot Movements and Pedal 
 Misapplication Errors (Doctoral dissertation)."		2015					0	doctoral dissertation		ME	doctoral dissertation and does not focus much on Simon effect	0			LS_LW		0	Dissertation
293	"Watter, S. (2003). Parallel response selection in dual-tasks. University of 
 Illinois at Urbana-Champaign."		2003					0	doctoral dissertation, does not focus much on Simon effect		ME	doctoral dissertation and does not focus much on Simon effect	0	no access		LD_HP		0	No Simon task
294	"Varakin, A., Renfro, A., & Hays, J. (2018). Stimulus response compatibility 
 affects duration judgments, not the rate of subjective time. Psicológica Journal, 39(2), 142-163."		2018	Varakin, A., Renfro, A., & Hays, J.	https://doi.org/10.2478/psicolj-2018-0007	Simon-like version of the temporal bisection task	perticipant exclusion	0	"DV = bisection point; data were analyzed by fitting logit models --> completely different analysis as in original Simon study. "		EP	It is a Simon-like task version. Maybe exclude later	0	not a 'classic' Simon task. participant have to make a judgment and not respond based on visual characteritics		DFD_KM		0	Different type of analysis
295	"McDonnell, J. V. (2014). Computational level accounts of belief formation
 and revision in humans (Doctoral dissertation, New York University)."		2014					0	"relevant study published as 
Crump, McDonnell, Gureckis (2013)"		HL		0	don't have access to the whole document		EB		0	duplicates 4
296	"Mine, D., & Yokosawa, K. (2021). Does response facilitation to visuo-tactile 
 stimuli around a remote-controlled hand avatar reflect peripersonal space or attentional bias?. Experimental Brain Research, 239(10), 3105-3112."		2021	Mine, D., & Yokosawa, K.	https://doi.org/10.1007/s00221-021-06192-8	multi-sensory facilitation effect: They delivered tactile stimuli to participants’ left or right hand concurrently with visual stimuli presented near a virtual hand avatar operated by the movements of participants’ left or right hand, which was shown far in a virtual environment and disconnected from the body.		0	multi-sensory facilitation effect (tactile stimulation + visual)		EP		0	no RT's reported		BB_JPR		0	No Simon task
297	"Cialdella, V. T. (2018). Relationship Closeness and Joint Action Coordination.
 Illinois State University."		2018	Cialdella, V. T.	https://ir.library.illinoisstate.edu/etd/955/			0	master thesis		EP		0	no Simon task		DFD_KM		0	No Simon task
298	"Kalanthroff, E., Marsh, R., Hassin, R. R., & Simpson, H. B. (2020). Evidence for
 trial-by-trial dynamic adjustment of task control in unmedicated adults with OCD. Behaviour research and therapy, 126, 103572."		2020					1	healthy control group	yes	HL		1			EB		1	
299	"Olson, I. R., Zhang, J. X., Mitchell, K. J., Johnson, M. K., Bloise, S. 
 M., & Higgins, J. A. (2004). Preserved spatial memory over brief 
 intervals in older adults. Psychology and Aging, 19(2), 310."		2004					0	duplicate		ME		0	no access but abstract doesn't sound like simon task		LD_HP		0	duplicates 86
300	"Huang, W. S., Liu, C. C., Hsu, C. C., & Lai, C. H. (2011). Effect of Visual-Verbal
 Load and Spatial Compatibility on Stimulus Response. Psychological reports, 108(2), 487-502."	Effect of Visual-Verbal Load and Spatial Compatibility on Stimulus Response	2011	Huang, W. S., Liu, C. C., Hsu, C. C., & Lai, C. H. 	https://doi.org/10.2466%2F22.PR0.108.2.487-502	"The participants performed visual reading-memory tasks at different levels, with these levels being designated as the visual-verbal load conditions in the current study. At the same time, the participants had to perform an S-R task. This task was designed as a series of stimulus and response spatial mapping pairs, and these were designated as the S-R spatial conditions. The stimulus presented in the S-R task was auditory or visual, designated as the modality. Participants were presented with three sessions, which included irrelevant, compatible, and incompatible spatial conditions, respectively. There were three conditions of no, free, or force visual-verbal load in each session. Each condition consisted of 20 visual and 20 auditory trials, 10 from the left and 10 from the right side in each modality. Accordingly, a participant was presented with three sessions × three conditions × 40 trials?=?360 trials. The order of the stimuli presented in each session was random. Initially, participants were randomly assigned to two groups. Group 
1 consisted of eight women and seven men and Group 2 consisted of seven women and eight men. At first, all participants were presented with 
Session 1. Next, the participants in Group 1 were presented with Session 
2 prior to Session 3; the participants in Group 2 were presented with Session 3 prior to Session 2. The experiment was run in three sessions with a 
week between sessions to reduce learning effects.
Session 1 was the irrelevant spatial condition. The participants were 
instructed to respond by pressing the upward arrow key when a stimulus 
was presented. Session 2 was the compatible spatial condition. The participants were asked to press the left arrow key for a visual or auditory 
stimulus from the left side and the right arrow key for a visual or auditory 
stimulus from the right side. Session 3 was the incompatible spatial condition. The participants were asked to press the right arrow key for a visual 
or auditory stimulus from the left side and the left arrow key for a visual 
or auditory stimulus from the right side.
Participants were presented with a visual or auditory stimulus and 
no other stimuli in the no visual-verbal load condition (No Load). In the 
free visual-verbal load condition (Free Load), a letter (A, B, C, or D) in Arial font appeared at 1-sec. intervals in the center of the monitor along with 
the visual or auditory stimulus. The participants were instructed to ignore 
the letter, but to respond to the visual or auditory stimulus. In the force visual-verbal load condition (Force Load), the letter display and visual and 
auditory stimuli were the same as in the free visual-verbal load condition, 
but the participants were instructed to count the number of times the letter “A” was presented in addition to responding to the visual or auditory 
stimulus. Then, at the end of each test block, the participants were asked 
to report their count result"	no	1	see notes		JW	I assume this is fine to include but it focusses very much on load	1			EB		0	No Simon task
301	"Wolf, J. E. (2017). The Effects of Stimulus-Response Compatibility on Rate
 of Learning and Transfer of Stimulus Control During Spatial Occasion Setting. Texas Christian University."		2017	Wolf, J. E. 	https://www.proquest.com/openview/6a8a03b73d36a9cd06469b107abe550b/1?pq-origsite=gscholar&cbl=18750			0	Doctoral dissertation		EP		0	not a Simon task		DFD_KM		0	No Simon task
302	"COLLIVER JR, J. D. (1975). BINOCULAR RIVALRY AS A FUNCTION OF THREE
 SELECTED STIMULUS FEATURES. The University of Iowa."		1975					0			JW		0			HL		0	Dissertation
303	"Dutilh, G. (2012). The temporal dynamics of speeded decision making 
 (Doctoral dissertation, Universiteit van Amsterdam [Host])."		2012					0	doctoral dissertation		JW		0	simon task only mentioned, but not conducted		EB		0	No Simon task
